en ;English ;Anglais 
fr ;French ;Français 
ab ;Abkhazian ;Abkhaze 
aa ;Afar ;Afar 
af ;Afrikaans ;Afrikaans 
ak ;Akan ;Akan 
sq ;Albanian ;Albanais 
am ;Amharic ;Amharique 
ar ;Arabic ;Arabe 
an ;Aragonese ;Aragonais 
hy ;Armenian ;Arménien 
as ;Assamese ;Assamais 
av ;Avaric ;Avar 
ae ;Avestan ;Avestique 
ay ;Aymara ;Aymara 
az ;Azerbaijani ;Azéri 
bm ;Bambara ;Bambara 
ba ;Bashkir ;Bachkir 
eu ;Basque ;Basque 
be ;Belarusian ;Biélorusse 
bn ;Bengali ;Bengalî 
bh ;Bihari ;Bihari 
bi ;Bislama ;Bichelamar 
bs ;Bosnian ;Bosnien 
br ;Breton ;Breton 
bg ;Bulgarian ;Bulgare 
my ;Burmese ;Birman 
ca ;Catalan ;Catalan 
ch ;Chamorro ;Chamorro 
ce ;Chechen ;Tchétchène 
ny ;Chichewa ;Chichewa 
zh ;Chinese ;Chinois 
cu ;Church Slavic ;Vieux slave 
cv ;Chuvash ;Tchouvache 
kw ;Cornish ;Cornique 
co ;Corsian ;Corse 
cr ;Cree ;Cri 
hr ;Croatian ;Croate 
cs ;Czech ;Tchèque 
da ;Danish ;Danois 
dv ;Divehi ;Divehi 
nl ;Dutch ;Néerlandais 
dz ;Dzongkha ;Dzongkha 
eo ;Esperanto ;Espéranto 
et ;Estonian ;Estonien 
ee ;Ewe ;Ewe 
fo ;Faroese ;Féringien 
fj ;Fijian ;Fidjien 
fi ;Finnish ;Finnois 
ff ;Fulah ;Peul 
gl ;Galician ;Galicien 
lg ;Ganda ;Ganda 
ka ;Georgian ;Géorgien 
de ;German ;Allemand 
el ;Greek ;Grec moderne 
gn ;Guarani ;Guarani 
gu ;Gujarati ;Gujarâtî 
ht ;Haitian ;Créole haïtien 
ha ;Hausa ;Haoussa 
he ;Hebrew ;Hébreu 
hz ;Herero ;Herero 
hi ;Hindi ;Hindî 
ho ;Hiri Motu ;Hiri motu 
hu ;Hungarian ;Hongrois 
is ;Icelandic ;Islandais 
io ;Ido ;Ido 
ig ;Igbo ;Igbo 
id ;Indonesian ;Indonésien 
ia ;Interlingua ;Interlingua 
ie ;Interlingue ;Occidental 
iu ;Inuktitut ;Inuktitut 
ik ;Inupiaq ;Inupiaq 
ga ;Irish ;Irlandais 
it ;Italian ;Italien 
ja ;Japanese ;Japonais 
jv ;Javanese ;Javanais 
kl ;Kalaallisut ;Kalaallisut 
kn ;Kannada ;Kannara 
kr ;Kanuri ;Kanouri 
ks ;Kashmiri ;Kashmiri 
kk ;Kazakh ;Kazakh 
km ;Khmer ;Khmer 
ki ;Kikuyu ;Kikuyu 
rw ;Kinyarwanda ;Kinyarwanda 
ky ;Kirghiz ;Kirghiz 
rn ;Kirundi ;Kirundi 
kv ;Komi ;Komi 
kg ;Kongo ;Kikongo 
ko ;Korean ;Coréen 
ku ;Kurdish ;Kurde 
kj ;Kwanyama ;Kuanyama 
lo ;Lao ;Lao 
la ;Latin ;Latin 
lv ;Latvian ;Letton 
li ;Limburgish ;Limbourgeois 
ln ;Lingala ;Lingala 
lt ;Lithuanian ;Lituanien 
lu ;Luba-Katanga ;Tchiluba 
lb ;Luxembourgish ;Luxembourgeois 
mk ;Macedonian ;Macédonien 
mg ;Malagasy ;Malgache 
ms ;Malay ;Malais 
ml ;Malayalam ;Malayalam 
mt ;Maltese ;Maltais 
gv ;Manx ;Mannois 
mi ;Maori ;Maori de Nouvelle-Zélande 
mr ;Marathi ;Marâthî 
mh ;Marshallese ;Marshallais 
mo ;Moldavian ;Moldave 
mn ;Mongolian ;Mongol 
na ;Nauru ;Nauruan 
nv ;Navajo ;Navajo 
ng ;Ndonga ;Ndonga 
ne ;Nepali ;Népalais 
nd ;North Ndebele ;Ndébélé du Nord 
se ;Northern Sami ;Same du Nord 
no ;Norwegian ;Norvégien 
nb ;Norwegian Bokmål ;Norvégien Bokmål 
nn ;Norwegian Nynorsk ;Norvégien Nynorsk 
oc ;Occitan ;Occitan 
oj ;Ojibwa ;Ojibwé 
or ;Oriya ;Oriya 
om ;Oromo ;Oromo 
os ;Ossetian ;Ossète 
pi ;Pali;Pâli 
pa ;Panjabi ;Panjâbî 
ps ;Pashto ;Pachto 
fa ;Persian ;Persan 
pl ;Polish ;Polonais 
pt ;Portuguese ;Portugais 
